sex,age,juvenile-felonies,juvenile-misdemeanors,juvenile-crimes,priors,current-charge-degree,recidivate-within-two-years
Male,21-22,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=0,Felony,1
Female,26-45,=0,=0,=0,2-3,Felony,0
Male,21-22,=0,=0,=0,>3,Felony,1
Male,23-25,=0,=0,=0,=1,Felony,0
Male,23-25,=0,=0,=0,=0,Felony,0
Male,21-22,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,=0,>0,>0,>3,Felony,0
Male,>45,=0,=0,=0,>3,Felony,1
Male,23-25,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,21-22,=0,=0,=0,=0,Felony,1
Male,23-25,=0,=0,=0,2-3,Felony,1
Male,21-22,=0,=0,>0,=0,Felony,1
Male,23-25,>0,=0,>0,2-3,Felony,1
Male,>45,=0,=0,=0,=1,Felony,0
Male,23-25,=0,=0,=0,=1,Misdemeanor,0
Male,21-22,=0,>0,>0,=1,Felony,1
Female,23-25,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,23-25,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,1
Male,23-25,=0,=0,=0,=0,Felony,1
Male,23-25,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,1
Female,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,21-22,=0,=0,=0,=0,Felony,1
Female,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,2-3,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,2-3,Misdemeanor,0
Male,>45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,23-25,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,23-25,=0,=0,=0,=1,Felony,0
Male,>45,=0,=0,=0,=1,Felony,0
Male,23-25,=0,>0,>0,2-3,Felony,1
Male,>45,=0,=0,=0,>3,Felony,0
Male,23-25,=0,>0,>0,>3,Felony,1
Male,26-45,=0,=0,>0,>3,Misdemeanor,1
Male,23-25,=0,=0,=0,>3,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,=1,Misdemeanor,1
Male,21-22,=0,=0,=0,=0,Felony,0
Female,23-25,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,1
Female,21-22,=0,=0,>0,=1,Misdemeanor,0
Male,>45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,1
Male,23-25,=0,=0,=0,=1,Misdemeanor,1
Male,>45,=0,=0,=0,2-3,Felony,0
Female,23-25,=0,=0,=0,=0,Misdemeanor,0
Male,23-25,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,=0,=1,Felony,1
Male,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,23-25,=0,=0,=0,=1,Misdemeanor,1
Male,>45,=0,=0,=0,=1,Felony,0
Female,21-22,=0,=0,=0,=0,Felony,0
Male,>45,=0,=0,=0,>3,Misdemeanor,0
Male,>45,=0,=0,=0,=0,Misdemeanor,0
Male,>45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,>45,=0,=0,=0,2-3,Misdemeanor,0
Male,>45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,=0,Felony,0
Female,21-22,=0,=0,=0,=0,Felony,0
Female,>45,=0,=0,=0,=0,Misdemeanor,0
Male,21-22,=0,=0,=0,=0,Felony,0
Male,23-25,>0,=0,>0,>3,Felony,1
Male,23-25,=0,=0,=0,=0,Felony,1
Male,26-45,=0,=0,=0,=1,Felony,1
Male,21-22,>0,=0,>0,2-3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,23-25,=0,=0,=0,=1,Felony,0
Male,18-20,=0,>0,>0,>3,Felony,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,>45,=0,=0,=0,>3,Felony,0
Male,23-25,=0,=0,>0,2-3,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Felony,0
Male,>45,=0,=0,=0,=0,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Felony,0
Male,>45,=0,=0,=0,=0,Felony,0
Male,>45,=0,=0,=0,2-3,Felony,0
Female,>45,=0,=0,=0,=1,Felony,1
Male,26-45,>0,=0,>0,>3,Felony,0
Male,>45,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=1,Felony,1
Male,>45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,0
Male,>45,>0,=0,>0,>3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,>45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,23-25,=0,=0,=0,=1,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,23-25,=0,=0,=0,>3,Felony,1
Male,21-22,=0,>0,>0,=1,Felony,1
Male,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,>0,>0,>3,Felony,1
Male,21-22,=0,=0,=0,=0,Felony,0
Male,>45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,1
Female,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,18-20,>0,=0,>0,2-3,Felony,1
Male,21-22,=0,=0,=0,=0,Felony,1
Male,21-22,=0,=0,=0,=0,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,0
Female,26-45,=0,=0,=0,=1,Felony,0
Female,26-45,=0,=0,=0,2-3,Felony,0
Female,21-22,=0,=0,>0,=0,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,21-22,>0,=0,>0,=1,Felony,1
Female,23-25,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,>45,=0,=0,=0,>3,Felony,0
Male,18-20,=0,=0,=0,=1,Misdemeanor,0
Male,23-25,=0,=0,=0,=0,Misdemeanor,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,1
Male,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,26-45,=0,=0,=0,2-3,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,>45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,21-22,=0,=0,=0,2-3,Misdemeanor,1
Male,>45,=0,=0,=0,2-3,Felony,0
Female,26-45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Misdemeanor,1
Male,>45,=0,=0,=0,>3,Felony,0
Male,>45,=0,=0,=0,2-3,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,>0,2-3,Felony,1
Male,>45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,1
Male,26-45,=0,=0,=0,=1,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Misdemeanor,1
Female,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,0
Male,18-20,=0,=0,=0,=0,Misdemeanor,1
Female,26-45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Felony,0
Female,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,0
Male,21-22,=0,=0,=0,=0,Misdemeanor,1
Male,>45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,2-3,Felony,1
Male,21-22,=0,=0,=0,=0,Misdemeanor,1
Male,>45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,>0,>0,>0,>3,Felony,1
Male,>45,=0,=0,=0,=0,Felony,0
Male,21-22,=0,=0,=0,>3,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Misdemeanor,0
Male,>45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,>0,=0,>0,=1,Felony,1
Male,21-22,=0,=0,=0,=0,Felony,1
Female,26-45,=0,=0,=0,=0,Misdemeanor,1
Male,26-45,=0,=0,=0,=0,Felony,1
Male,>45,=0,=0,=0,>3,Felony,0
Male,23-25,>0,=0,>0,>3,Misdemeanor,1
Male,>45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,2-3,Misdemeanor,1
Male,26-45,=0,=0,=0,2-3,Misdemeanor,0
Male,>45,=0,=0,=0,=0,Felony,1
Female,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,0
Female,26-45,=0,=0,=0,2-3,Felony,1
Male,21-22,=0,=0,=0,=1,Felony,1
Male,26-45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,>0,>0,>3,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,1
Female,26-45,=0,=0,=0,=1,Felony,0
Male,>45,=0,=0,=0,>3,Felony,1
Male,>45,=0,=0,=0,>3,Felony,0
Female,21-22,=0,=0,=0,=0,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,1
Male,21-22,=0,=0,=0,2-3,Felony,1
Female,26-45,=0,=0,=0,>3,Misdemeanor,1
Male,26-45,>0,>0,>0,>3,Felony,1
Male,21-22,=0,=0,=0,=0,Felony,0
Male,>45,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,1
Male,>45,=0,=0,=0,2-3,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Felony,0
Male,>45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,=0,=0,=0,2-3,Felony,0
Female,>45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,1
Male,26-45,=0,=0,=0,=1,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,23-25,=0,=0,=0,=1,Misdemeanor,0
Male,23-25,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,=1,Felony,1
Female,>45,=0,=0,=0,=1,Misdemeanor,0
Male,>45,=0,=0,=0,=0,Misdemeanor,0
Male,23-25,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,1
Female,21-22,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,>45,=0,=0,=0,=0,Felony,0
Female,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,23-25,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,>3,Misdemeanor,0
Female,>45,=0,=0,=0,2-3,Misdemeanor,1
Male,>45,=0,=0,=0,>3,Misdemeanor,1
Male,26-45,=0,=0,=0,=0,Felony,1
Female,>45,=0,=0,=0,2-3,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,>0,>0,>3,Misdemeanor,1
Male,26-45,>0,=0,>0,>3,Misdemeanor,1
Female,26-45,=0,=0,=0,2-3,Misdemeanor,0
Male,21-22,=0,=0,=0,=0,Felony,0
Male,>45,>0,=0,>0,>3,Felony,0
Male,23-25,=0,=0,=0,=1,Felony,1
Female,>45,=0,=0,=0,=1,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,1
Male,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,>45,=0,=0,=0,>3,Misdemeanor,1
Male,21-22,=0,=0,>0,=1,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,>0,=0,>0,>3,Felony,1
Female,26-45,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,1
Female,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,23-25,=0,=0,=0,=1,Misdemeanor,0
Female,23-25,=0,=0,=0,=0,Misdemeanor,0
Female,>45,=0,=0,=0,=0,Misdemeanor,0
Male,>45,=0,=0,=0,=0,Felony,0
Male,21-22,=0,=0,>0,>3,Felony,1
Male,23-25,=0,=0,>0,=0,Felony,1
Female,23-25,=0,=0,>0,>3,Felony,1
Male,>45,=0,=0,=0,=1,Felony,1
Male,>45,=0,=0,=0,=0,Misdemeanor,1
Male,23-25,=0,=0,=0,=0,Felony,1
Female,26-45,=0,=0,>0,>3,Felony,1
Male,>45,=0,=0,=0,=1,Misdemeanor,1
Male,21-22,=0,=0,=0,2-3,Felony,1
Male,21-22,=0,=0,=0,=1,Felony,0
Female,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,1
Male,18-20,>0,=0,>0,>3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,>45,=0,=0,=0,2-3,Misdemeanor,0
Female,23-25,=0,=0,=0,=1,Felony,1
Male,>45,=0,=0,=0,=1,Misdemeanor,0
Female,26-45,=0,=0,=0,=1,Felony,0
Female,26-45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,=1,Felony,0
Female,>45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,0
Male,>45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,21-22,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,>0,2-3,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,>45,=0,=0,=0,>3,Felony,1
Female,>45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,26-45,=0,=0,>0,>3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,21-22,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,=0,Felony,1
Male,23-25,=0,=0,>0,>3,Felony,1
Male,23-25,=0,=0,=0,=1,Felony,1
Male,26-45,=0,=0,=0,2-3,Misdemeanor,1
Male,23-25,=0,=0,=0,=0,Felony,0
Male,21-22,=0,=0,>0,=1,Misdemeanor,0
Male,26-45,=0,=0,=0,2-3,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,18-20,=0,=0,>0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=0,Felony,1
Male,21-22,=0,>0,>0,2-3,Misdemeanor,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Female,>45,=0,=0,=0,=0,Felony,0
Male,>45,=0,=0,=0,=0,Misdemeanor,1
Male,26-45,=0,=0,=0,2-3,Misdemeanor,1
Male,>45,=0,=0,=0,=1,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Misdemeanor,0
Female,>45,=0,=0,=0,>3,Felony,0
Male,>45,=0,=0,=0,=0,Misdemeanor,0
Female,23-25,=0,=0,=0,2-3,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Felony,0
Female,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Felony,0
Female,26-45,=0,=0,=0,>3,Felony,0
Male,21-22,=0,=0,=0,=0,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,23-25,=0,=0,=0,>3,Felony,1
Female,>45,=0,=0,=0,=1,Felony,1
Male,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,23-25,=0,=0,=0,=1,Felony,1
Male,>45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,1
Male,21-22,>0,=0,>0,=1,Felony,1
Male,>45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,=0,Felony,0
Male,23-25,=0,=0,>0,>3,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,2-3,Misdemeanor,0
Male,23-25,>0,>0,>0,>3,Felony,0
Male,>45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,>3,Misdemeanor,1
Male,26-45,=0,=0,=0,2-3,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,23-25,=0,=0,=0,2-3,Misdemeanor,1
Male,>45,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,1
Female,23-25,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,18-20,>0,=0,>0,=1,Felony,1
Male,18-20,=0,>0,>0,2-3,Felony,1
Male,>45,=0,=0,=0,>3,Misdemeanor,1
Male,>45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,2-3,Felony,1
Female,26-45,=0,=0,=0,=0,Felony,1
Female,>45,=0,=0,=0,=0,Misdemeanor,1
Male,26-45,=0,=0,>0,>3,Felony,1
Male,21-22,=0,=0,=0,=1,Felony,1
Male,23-25,=0,=0,=0,>3,Felony,0
Male,21-22,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,2-3,Misdemeanor,1
Male,26-45,=0,=0,=0,2-3,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,=0,=0,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,18-20,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,=0,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,21-22,=0,=0,=0,=0,Felony,1
Male,26-45,=0,=0,=0,=0,Felony,1
Female,>45,=0,=0,=0,=0,Felony,0
Female,>45,=0,=0,=0,=1,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,1
Female,26-45,=0,=0,=0,>3,Felony,0
Female,23-25,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,>0,>0,>3,Felony,1
Female,26-45,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,>0,=0,>0,>3,Felony,1
Male,18-20,=0,=0,=0,=0,Misdemeanor,0
Male,23-25,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,0
Male,23-25,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,=1,Felony,1
Male,26-45,=0,=0,=0,=1,Felony,1
Male,23-25,=0,=0,>0,>3,Felony,1
Male,26-45,=0,=0,=0,>3,Misdemeanor,0
Female,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,=0,Felony,0
Male,21-22,=0,=0,=0,=1,Felony,0
Female,26-45,=0,=0,=0,=0,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,2-3,Felony,1
Male,18-20,=0,>0,>0,2-3,Felony,1
Female,>45,=0,=0,=0,2-3,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,>45,=0,=0,=0,>3,Felony,1
Male,23-25,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,18-20,=0,=0,=0,=1,Felony,1
Male,>45,=0,=0,=0,=1,Felony,0
Female,>45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,=0,Felony,0
Male,23-25,=0,=0,=0,2-3,Felony,1
Female,26-45,=0,=0,=0,2-3,Felony,1
Male,23-25,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,1
Male,21-22,=0,=0,>0,=0,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,21-22,=0,=0,=0,=0,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,0
Male,21-22,=0,=0,>0,=0,Felony,0
Male,18-20,=0,=0,=0,=1,Felony,0
Male,>45,>0,=0,>0,>3,Felony,1
Male,21-22,>0,=0,>0,2-3,Misdemeanor,0
Female,21-22,=0,=0,=0,=0,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,>45,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,2-3,Felony,0
Male,>45,=0,=0,=0,=1,Felony,0
Female,26-45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,1
Female,26-45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,>3,Felony,0
Female,26-45,=0,=0,=0,=1,Misdemeanor,1
Male,>45,=0,=0,=0,=0,Felony,1
Male,>45,=0,=0,=0,>3,Misdemeanor,0
Male,>45,=0,=0,=0,=1,Misdemeanor,0
Female,>45,=0,=0,=0,>3,Felony,0
Female,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,26-45,=0,=0,>0,>3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,>45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,>45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Misdemeanor,1
Male,21-22,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,1
Female,23-25,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=1,Misdemeanor,0
Female,>45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=0,Felony,0
Male,21-22,=0,=0,=0,=0,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=0,Felony,0
Male,23-25,=0,>0,>0,>3,Felony,1
Male,26-45,=0,=0,=0,=0,Felony,0
Male,>45,=0,=0,=0,=0,Misdemeanor,0
Female,23-25,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,18-20,=0,=0,>0,=1,Felony,1
Male,26-45,>0,=0,>0,>3,Felony,0
Female,26-45,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=1,Misdemeanor,1
Male,26-45,=0,=0,=0,>3,Misdemeanor,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,=1,Felony,0
Female,26-45,=0,=0,=0,>3,Felony,1
Male,26-45,=0,>0,>0,>3,Felony,1
Male,21-22,=0,=0,>0,=1,Felony,1
Male,>45,=0,=0,=0,=0,Misdemeanor,1
Male,26-45,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,>0,>3,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,>0,=0,>0,>3,Felony,1
Male,21-22,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,>45,=0,=0,=0,>3,Felony,1
Male,>45,=0,=0,=0,2-3,Misdemeanor,0
Male,23-25,=0,=0,>0,2-3,Felony,0
Male,26-45,=0,=0,=0,=1,Felony,0
Male,26-45,=0,=0,=0,=1,Misdemeanor,0
Male,>45,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,0
Male,23-25,=0,=0,>0,>3,Felony,0
Male,26-45,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,>0,>0,>3,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,1
Male,26-45,=0,=0,=0,>3,Felony,0
Male,>45,=0,=0,=0,>3,Felony,0
Male,>45,=0,=0,=0,>3,Misdemeanor,0
Male,>45,=0,=0,=0,>3,Felony,0
Male,26-45,=0,=0,=0,=0,Felony,0
Male,26-45,=0,>0,>0,>3,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Female,26-45,=0,=0,=0,=0,Misdemeanor,0
Female,23-25,=0,>0,>0,2-3,Misdemeanor,0
Male,21-22,=0,>0,>0,=1,Felony,0
Male,>45,=0,=0,=0,=1,Felony,0
Male,21-22,=0,=0,=0,=0,Felony,0
Male,>45,=0,=0,=0,=0,Misdemeanor,0
Male,>45,=0,=0,=0,=0,Felony,1
Male,>45,=0,=0,=0,>3,Misdemeanor,1
Female,26-45,=0,=0,=0,2-3,Misdemeanor,0
Male,23-25,=0,=0,>0,=1,Felony,1
Male,26-45,=0,=0,=0,=0,Misdemeanor,0
Male,26-45,=0,=0,=0,>3,Felony,1
Male,>45,=0,=0,=0,=1,Felony,1
Male,26-45,=0,=0,=0,2-3,Felony,1
